Nodal Displacements:
Node 0: Ux=0.000000e+00 mm, Uy=0.000000e+00 mm, Uz=1.850465e-01 mm, Rx=-0.000000e+00 rad, Ry=1.427238e-04 rad, Rz=-0.000000e+00 rad
Node 26: Ux=0.000000e+00 mm, Uy=-0.000000e+00 mm, Uz=0.000000e+00 mm, Rx=-0.000000e+00 rad, Ry=-4.569691e-04 rad, Rz=-0.000000e+00 rad
Node 27: Ux=-4.204306e-01 mm, Uy=0.000000e+00 mm, Uz=-1.443353e-02 mm, Rx=-0.000000e+00 rad, Ry=3.176179e-04 rad, Rz=-0.000000e+00 rad
Node 28: Ux=-4.194502e-01 mm, Uy=-0.000000e+00 mm, Uz=9.927831e-03 mm, Rx=0.000000e+00 rad, Ry=8.549219e-07 rad, Rz=0.000000e+00 rad
Node 29: Ux=-4.189230e-01 mm, Uy=0.000000e+00 mm, Uz=-1.048713e-02 mm, Rx=-0.000000e+00 rad, Ry=-3.338221e-05 rad, Rz=-0.000000e+00 rad
Node 30: Ux=-4.193953e-01 mm, Uy=-0.000000e+00 mm, Uz=-3.199737e-02 mm, Rx=-0.000000e+00 rad, Ry=-1.155630e-05 rad, Rz=0.000000e+00 rad
Node 31: Ux=-4.203445e-01 mm, Uy=0.000000e+00 mm, Uz=-1.258452e-02 mm, Rx=-0.000000e+00 rad, Ry=2.991647e-04 rad, Rz=-0.000000e+00 rad
Node 32: Ux=-7.733495e-01 mm, Uy=0.000000e+00 mm, Uz=-1.507368e-02 mm, Rx=0.000000e+00 rad, Ry=1.881157e-03 rad, Rz=-0.000000e+00 rad
Node 33: Ux=-7.678036e-01 mm, Uy=-0.000000e+00 mm, Uz=-1.554959e-02 mm, Rx=0.000000e+00 rad, Ry=1.863211e-03 rad, Rz=-0.000000e+00 rad
Node 34: Ux=-6.207267e-01 mm, Uy=0.000000e+00 mm, Uz=-1.529741e-02 mm, Rx=-0.000000e+00 rad, Ry=1.911888e-03 rad, Rz=-0.000000e+00 rad
Node 35: Ux=-9.245359e-01 mm, Uy=-0.000000e+00 mm, Uz=-1.488364e-02 mm, Rx=-0.000000e+00 rad, Ry=2.004495e-03 rad, Rz=-0.000000e+00 rad
Node 36: Ux=-6.236034e-01 mm, Uy=0.000000e+00 mm, Uz=-1.542910e-02 mm, Rx=-0.000000e+00 rad, Ry=1.977605e-03 rad, Rz=0.000000e+00 rad
Node 37: Ux=-9.165920e-01 mm, Uy=-0.000000e+00 mm, Uz=-1.656775e-02 mm, Rx=-0.000000e+00 rad, Ry=1.945778e-03 rad, Rz=-0.000000e+00 rad
Node 38: Ux=-1.393059e+00 mm, Uy=0.000000e+00 mm, Uz=0.000000e+00 mm, Rx=-0.000000e+00 rad, Ry=2.213410e-03 rad, Rz=-0.000000e+00 rad
Node 39: Ux=-1.266015e+00 mm, Uy=0.000000e+00 mm, Uz=-1.877024e-01 mm, Rx=0.000000e+00 rad, Ry=2.204154e-03 rad, Rz=0.000000e+00 rad
Node 40: Ux=-1.001462e+00 mm, Uy=0.000000e+00 mm, Uz=-5.785411e-01 mm, Rx=0.000000e+00 rad, Ry=2.122432e-03 rad, Rz=-0.000000e+00 rad
Node 41: Ux=-7.267185e-01 mm, Uy=0.000000e+00 mm, Uz=-1.691380e-01 mm, Rx=-0.000000e+00 rad, Ry=2.102725e-03 rad, Rz=0.000000e+00 rad
Node 42: Ux=-1.701199e+00 mm, Uy=0.000000e+00 mm, Uz=0.000000e+00 mm, Rx=-0.000000e+00 rad, Ry=2.215630e-03 rad, Rz=-0.000000e+00 rad
Node 43: Ux=-1.574019e+00 mm, Uy=0.000000e+00 mm, Uz=-1.879012e-01 mm, Rx=0.000000e+00 rad, Ry=2.206763e-03 rad, Rz=-0.000000e+00 rad
Node 44: Ux=-1.308975e+00 mm, Uy=-0.000000e+00 mm, Uz=-5.794618e-01 mm, Rx=-0.000000e+00 rad, Ry=2.128435e-03 rad, Rz=0.000000e+00 rad
Node 45: Ux=-1.029909e+00 mm, Uy=-0.000000e+00 mm, Uz=-1.695956e-01 mm, Rx=-0.000000e+00 rad, Ry=2.122314e-03 rad, Rz=0.000000e+00 rad
Node 46: Ux=-7.166719e-01 mm, Uy=-0.000000e+00 mm, Uz=1.287468e-01 mm, Rx=-0.000000e+00 rad, Ry=1.927273e-03 rad, Rz=0.000000e+00 rad
Node 47: Ux=-9.821655e-01 mm, Uy=0.000000e+00 mm, Uz=5.268812e-01 mm, Rx=-0.000000e+00 rad, Ry=2.329305e-03 rad, Rz=-0.000000e+00 rad
Node 48: Ux=-1.328921e+00 mm, Uy=0.000000e+00 mm, Uz=1.272710e-02 mm, Rx=-0.000000e+00 rad, Ry=3.221439e-03 rad, Rz=-0.000000e+00 rad
Node 49: Ux=-1.517536e+00 mm, Uy=0.000000e+00 mm, Uz=-2.669281e-01 mm, Rx=0.000000e+00 rad, Ry=3.323535e-03 rad, Rz=0.000000e+00 rad
Node 50: Ux=-1.016931e+00 mm, Uy=-0.000000e+00 mm, Uz=1.284665e-01 mm, Rx=-0.000000e+00 rad, Ry=1.965148e-03 rad, Rz=0.000000e+00 rad
Node 51: Ux=-1.293506e+00 mm, Uy=0.000000e+00 mm, Uz=5.290177e-01 mm, Rx=-0.000000e+00 rad, Ry=2.358369e-03 rad, Rz=0.000000e+00 rad
Node 52: Ux=-1.643796e+00 mm, Uy=0.000000e+00 mm, Uz=9.624710e-03 mm, Rx=-0.000000e+00 rad, Ry=3.250503e-03 rad, Rz=0.000000e+00 rad
Node 53: Ux=-1.834079e+00 mm, Uy=0.000000e+00 mm, Uz=-2.725010e-01 mm, Rx=-0.000000e+00 rad, Ry=3.352600e-03 rad, Rz=-0.000000e+00 rad
